SalmGenRowID,FishTagID,BestEstimate,Prob1,2ndBestEstimate,Prob2,Comments
2024,2019_ACHN_103,F,0.999800026,,0,
2296,2019_ACHN_105,F,1,,0,
2297,2019_ACHN_106,F,1,,0,
2298,2019_ACHN_107,F,1,,0,
1761,2019Ad_plus-F_001,F,0.999499977,,0,
1762,2019Ad_plus-F_002,F,0.996100008,,0,
1763,2019Ad_plus-F_003,F,0.960200012,LF,0.039700001,
1764,2019Ad_plus-F_004,F,0.984399974,LF,0.0156,
1765,2019Ad_plus-F_005,F,0.936500013,LF,0.063500002,
1766,2019Ad_plus-F_006,F,0.993200004,,0,
1767,2019Ad_plus-F_007,F,0.803799987,LF,0.196199998,
1768,2019Ad_plus-F_008,F,0.880900025,S,0.118900001,
1769,2019Ad_plus-F_009,F,1,,0,
1770,2019Ad_plus-F_010,F,0.991699994,,0,
1771,2019Ad_plus-F_011,F,0.98269999,LF,0.0173,
1772,2019Ad_plus-F_012,F,0.99970001,,0,
1773,2019Ad_plus-F_013,F,0.999599993,,0,
1774,2019Ad_plus-F_014,F,0.995700002,,0,
1775,2019Ad_plus-F_015,F,0.898299992,LF,0.1017,
1776,2019Ad_plus-F_017,F,0.999899983,,0,
1777,2019Ad_plus-F_018,F,1,,0,
1778,2019Ad_plus-F_019,F,0.999899983,,0,
1779,2019Ad_plus-F_020,S,0.612500012,F,0.381500006,
1780,2019Ad_plus-F_021,F,0.99970001,,0,
1781,2019Ad_plus-F_022,LF,0.941299975,F,0.058699999,
1782,2019Ad_plus-F_023,LF,0.946699977,F,0.053300001,
1783,2019Ad_plus-F_024,LF,0.999000013,,0,
1784,2019Ad_plus-F_025,F,0.970899999,LF,0.029100001,
1785,2019Ad_plus-F_026,LF,0.954900026,F,0.0451,
1786,2019Ad_plus-F_027,F,0.549899995,LF,0.449999988,
1787,2019Ad_plus-F_028,LF,0.996299982,,0,
1788,2019Ad_plus-F_029,F,0.997099996,,0,
1789,2019Ad_plus-F_030,LF,0.67110002,F,0.328900009,
1790,2019Ad_plus-F_031,F,0.566799998,LF,0.430799991,
2026,2019Ad_plus-F_032,F,0.858299971,LF,0.1417,
1791,2019Ad_plus-F_033,F,0.993099988,,0,
1792,2019Ad_plus-F_034,F,0.999800026,,0,
1793,2019Ad_plus-F_035,LF,0.899600029,F,0.100400001,
1794,2019Ad_plus-F_036,F,0.999899983,,0,
1795,2019Ad_plus-F_037,F,0.999599993,,0,
1796,2019Ad_plus-F_038,F,0.549899995,S,0.255800009,3rd prob LF 0.1942
1797,2019Ad_plus-F_039,F,0.912899971,LF,0.087099999,
1798,2019Ad_plus-F_040,F,1,,0,
1799,2019Ad_plus-F_041,F,0.999899983,,0,
1800,2019Ad_plus-F_042,F,0.861400008,LF,0.138600007,
1801,2019Ad_plus-F_043,F,0.99940002,,0,
1802,2019Ad_plus-F_044,F,0.998600006,,0,
1803,2019Ad_plus-F_045,F,1,,0,
