SampleID,OrganismCode,ForkLength,TotalLength,Weight,Sex,Spawning Condition,MarkCode,Race,StageCode,Dead,CWTSample,Genetic Sample,Direct Take,Indirect Take,FishTagID,Count,Plus Count,Comments
9917,MSS,65,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,73,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,78,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,68,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,70,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,84,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,58,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,69,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,76,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,65,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,55,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,58,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,32,TRUE,
9917,MSS,63,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,MSS,79,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,YFG,84,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,YFG,122,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,KLF,33,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,SHR,38,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
9917,SHR,26,,,,,n/p,n/p,n/p,No,FALSE,FALSE,FALSE,FALSE,,1,FALSE,
